plot,area,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,pct_canopy,num_woody_stems,pct_bunchgrass,num_mounds,pct_bluestem,num_blowouts,num_liatris_stems,num_open_oaks,num_milkweed_stems,litter_depth,pct_nonbunchgrass,tot_grass
15,SNWR,0,0,0,0,0,0,0,0,0,0,0,0,176,179,182,31,34,37,100,103,106,81,84,87,44,44,44,58,58,58,36,36,36,44,44,44,1,1,1,1,1,1,0,0,0,0,0,0,17.6,5,33,0.2,5,0,0,3.2,0.4,0.125,18,51
16,SNWR,0,0,0,0,0,0,0,0,0,0,0,0,96,99,102,-6,-3,0,81,84,87,117,120,123,28,28,28,54,54,54,21,21,21,48,48,48,1,1,1,1,1,1,0,0,0,0,0,0,92,3.75,12.5,0,0,0,0,0.25,0,0.041666667,5,17.5
17,SNWR,0,0,0,0,0,0,0,0,0,0,0,0,259,262,265,57,60,63,215,218,221,263,266,269,41,41,41,47,47,47,30,30,30,54,54,54,1,1,1,1,1,1,0,0,0,0,0,0,62,18,0,0,0,0,0,1,0,0.4375,11,11
18,SNWR,0,0,0,0,0,0,0,0,0,0,0,0,95,98,101,33,36,39,136,139,142,265,268,271,40,40,40,57,57,57,30,30,30,45,45,45,1,1,1,1,1,1,0,0,0,0,0,0,35.8,6.4,0,0,0,0,0,0,0,0.2,7,7
19,SNWR,0,0,0,0,0,0,0,0,0,0,0,0,139,142,145,108,111,114,256,259,262,115,118,121,40,40,40,47,47,47,38,38,38,59,59,59,1,1,1,1,1,1,0,0,0,0,0,0,18.8,7.4,23,0,2,0,0,3,0.8,0.1,8,31
20,SNWR,0,0,0,0,0,0,0,0,0,0,0,0,221,224,227,52,55,58,151,154,157,264,267,270,39,39,39,49,49,49,38,38,38,44,44,44,1,1,1,1,1,1,0,0,0,0,0,0,81.6,11.4,0,0,0,0,0,0,0,0.3625,10,10
21,SDSF,0,0,0,0,0,0,0,0,0,0,0,0,208,211,214,126,129,132,126,129,132,121,124,127,20,20,20,50,50,50,21,21,21,44,44,44,1,1,1,1,1,1,0,0,0,0,0,0,59.8,8.6,0,0,0,0,0,0,0,1,3,3
22,SDSF,0,0,0,0,0,0,0,0,0,0,0,0,136,139,142,240,243,246,121,124,127,120,123,126,39,39,39,58,58,58,35,35,35,45,45,45,1,1,1,1,1,1,0,0,0,0,0,0,33.2,9.8,8,0,3,0,0,0,0,0.3625,12,20
23,SDSF,0,0,0,0,0,0,0,0,0,0,0,0,183,186,189,208,211,214,90,93,96,100,103,106,50,50,50,58,58,58,35,35,35,54,54,54,1,1,1,1,1,1,0,0,0,0,0,0,61,33.6,0,0,0,0,0,0,0,1.25,0,0
24,SDSF,0,0,0,1,0,0,0,0,0,0,0,0,236,239,242,141,144,147,188,191,194,146,149,152,20,20,20,49,49,49,33,33,33,44,44,44,1,1,1,1,1,1,0,0,0,0,0,0,35.8,9.6,14,0.4,1,0,0,1.8,0,0.5625,3,17
25,SDSF,0,0,0,0,0,0,0,0,0,0,0,0,201,204,207,160,163,166,146,149,152,166,169,172,26,26,26,49,49,49,21,21,21,44,44,44,1,1,1,1,1,1,0,0,0,0,0,0,76,9.2,0,0,0,0,0,0,0,1,8,8
26,SNWR,0,0,0,0,0,0,0,0,0,0,0,0,166,169,172,204,207,210,240,243,246,173,176,179,20,20,20,60,60,60,36,36,36,46,46,46,1,1,1,1,1,1,0,0,0,0,0,0,92.8,11.8,0,0,0,0,0,0.4,0,1,2.5,2.5
27,SDSF,0,0,0,0,0,0,0,0,0,0,0,0,168,171,174,23,26,29,174,177,180,125,128,131,39,39,39,46,46,46,26,26,26,54,54,54,1,1,1,1,1,1,0,0,0,0,0,0,15.8,2.2,0,0,0,0,0.2,3.8,0,0.6125,8,8
28,SDSF,0,0,0,0,0,0,0,0,0,0,0,0,209,212,215,121,124,127,200,203,206,151,154,157,40,40,40,54,54,54,26,26,26,54,54,54,1,1,1,1,1,1,0,0,0,0,0,0,46.2,14.4,0,0,0,0,0,0,0,1.1,0,0
29,SDSF,0,0,0,0,0,0,0,0,0,0,0,0,189,192,195,197,200,203,165,168,171,192,195,198,40,40,40,49,49,49,35,35,35,59,59,59,1,1,1,1,1,1,0,0,0,0,0,0,20,1,18,0,0,0,0,0,0,0.025,24,42
30,SDSF,0,0,0,0,0,0,0,0,0,0,0,0,242,245,248,171,174,177,60,63,66,220,223,226,26,26,26,58,58,58,35,35,35,44,44,44,1,1,1,1,1,1,0,0,0,0,0,0,51.2,11,20,0.6,0,0,0,0,0,0.8125,3,23
31,SDSF,0,0,0,0,0,0,0,0,0,0,0,0,168,171,174,97,100,103,235,238,241,154,157,160,36,36,36,54,54,54,24,24,24,45,45,45,1,1,1,1,1,1,0,0,0,0,0,0,51.2,12.8,0,0,0,0,0,0.2,0.6,0.7,4,4
32,SDSF,0,0,0,0,0,0,0,0,0,0,0,0,134,137,140,255,258,261,235,238,241,85,88,91,36,36,36,47,47,47,26,26,26,45,45,45,1,1,1,1,1,1,0,0,0,0,0,0,37.6,9.8,26,0.2,13,0,0,0,0.2,0.2125,8,34
33,SDSF,0,0,0,0,0,0,0,0,1,0,0,0,194,197,200,67,70,73,163,166,169,189,192,195,33,33,33,54,54,54,24,24,24,45,45,45,1,1,1,1,1,1,0,0,0,0,0,0,18.6,2.4,69,0,56,0,0,4,0,0.15,2,71
34,SDSF,1,0,3,0,1,0,0,2,3,4,4,5,43,46,49,25,28,31,190,193,196,238,241,244,39,39,39,55,55,55,38,38,38,59,59,59,1,1,1,1,1,1,0,0,0,0,0,0,38.6,0.4,15,0.2,10,0,0,0,0,0.9625,10,25
35,SDSF,3,1,2,0,0,0,0,0,0,0,2,2,160,163,166,180,183,186,186,189,192,201,204,207,35,35,35,46,46,46,25,25,25,53,53,53,1,1,1,1,1,1,0,0,0,0,0,0,43.8,0.6,10,0.4,5,0,0,0,0,1.5125,1,11
36,SDSF,3,2,4,1,1,1,2,1,1,0,0,2,74,77,80,122,125,128,221,224,227,72,75,78,39,39,39,46,46,46,33,33,33,52,52,52,1,1,1,1,1,1,0,0,0,0,0,0,0,9.2,0,0.4,0,0,0,0,0.2,0,0,0
37,SDSF,0,1,1,4,4,5,1,0,1,0,1,1,209,212,215,151,154,157,147,150,153,217,220,223,35,35,35,46,46,46,25,25,25,59,59,59,1,1,1,1,1,1,0,0,0,0,0,0,0,10.4,0,0.4,0,0,0,0,1.4,0,2,2
38,SDSF,0,0,0,0,0,0,0,0,0,0,0,0,212,215,218,151,154,157,213,216,219,68,71,74,37,37,37,50,50,50,25,25,25,54,54,54,1,1,1,1,1,1,0,0,0,0,0,0,35.2,1.6,34,0,25,0,0,3.8,0.2,0.0625,16,50
39,SDSF,0,0,0,0,0,0,0,0,0,0,0,1,230,233,236,1,4,7,134,137,140,189,192,195,28,28,28,55,55,55,24,24,24,44,44,44,1,1,1,1,1,1,0,0,0,0,0,0,25,17,22,0.2,4,0,0,0,0,0.275,8,30
40,SDSF,0,0,0,0,0,0,0,0,0,0,0,0,246,249,252,228,231,234,201,204,207,218,221,224,40,40,40,49,49,49,24,24,24,45,45,45,1,1,1,1,1,1,0,0,0,0,0,0,18.4,5.8,0,0,0,0,0,0.2,0.2,0.55,8,8
41,SDSF,0,0,0,0,0,0,0,0,0,0,0,0,254,257,260,191,194,197,257,260,263,204,207,210,28,28,28,57,57,57,26,26,26,48,48,48,1,1,1,1,1,1,0,0,0,0,0,0,28.6,16.4,21,0.2,14,0,0,0.2,0,0.8125,12,33
42,SDSF,0,2,0,0,0,0,2,2,2,0,2,0,256,259,262,56,59,62,150,153,156,197,200,203,27,27,27,60,60,60,29,29,29,55,55,55,1,1,1,1,1,1,0,0,0,0,0,0,66.8,4.4,16,0,4,0,0,4.4,0,0.675,9,25
43,SDSF,0,0,0,0,0,0,0,0,0,1,1,0,110,113,116,143,146,149,104,107,110,194,197,200,33,33,33,57,57,57,39,39,39,47,47,47,1,1,1,1,1,1,0,0,0,0,0,0,36,18.4,37,1.6,10,0,0,13.6,0,0.1875,12,49
45,SDSF,0,0,0,0,0,0,0,0,0,0,0,0,199,202,205,87,90,93,45,48,51,225,228,231,27,27,27,46,46,46,32,32,32,55,55,55,1,1,1,1,1,1,0,0,0,0,0,0,69.4,18.6,10,0.8,2,5,2.6,0.2,2.8,0.2625,3,13
46,SDSF,0,0,0,0,0,0,0,0,0,0,0,0,221,224,227,205,208,211,153,156,159,233,236,239,27,27,27,47,47,47,39,39,39,52,52,52,1,1,1,1,1,1,0,0,0,0,0,0,24.2,2.4,1,0,1,0,0,0.2,0,0.25,0,1
47,SDSF,0,0,0,0,0,0,0,0,0,0,0,0,210,213,216,118,121,124,95,98,101,169,172,175,22,22,22,55,55,55,22,22,22,55,55,55,1,1,1,1,1,1,0,0,0,0,0,0,85.2,13,0,0,0,0,0,0.4,0,1.2,5,5
48,SDSF,0,0,0,1,0,0,0,0,0,0,1,1,122,125,128,85,88,91,70,73,76,75,78,81,37,37,37,55,55,55,25,25,25,59,59,59,1,1,1,1,1,1,0,0,0,0,0,0,24.67,2,38.33,0.67,15,0,0,5,0,0.083333333,0,38.33
49,SDSF,0,0,0,0,0,0,0,0,0,0,0,0,248,251,254,54,57,60,254,257,260,104,107,110,22,22,22,55,55,55,33,33,33,52,52,52,1,1,1,1,1,1,0,0,0,0,0,0,77.6,15.6,0,0,0,0,0,0.2,0,0.6625,0,0
50,SDSF,0,0,0,0,0,0,0,0,0,0,0,0,175,178,181,223,226,229,222,225,228,127,130,133,21,21,21,50,50,50,22,22,22,52,52,52,1,1,1,1,1,1,0,0,0,0,0,0,66,8.2,10,0,2,0,0,0,0.6,0.6,0,10
51,SDSF,0,0,0,0,0,0,0,0,0,0,0,0,215,218,221,150,153,156,193,196,199,251,254,257,21,21,21,54,54,54,22,22,22,39,39,39,1,1,1,1,1,1,0,0,0,0,0,0,77.4,19.6,0,0,0,0,0,0,0,0.95,0,0
52,SDSF,0,0,0,0,0,0,0,0,0,0,0,0,59,62,65,97,100,103,106,109,112,264,267,270,36,36,36,57,57,57,38,38,38,53,53,53,1,1,1,1,1,1,0,0,0,0,0,0,62.4,20.2,0,0,0,0,0,0,0,0.7625,2,2
53,SDSF,0,0,0,0,0,0,0,0,0,0,0,0,142,145,148,152,155,158,196,199,202,234,237,240,33,33,33,55,55,55,29,29,29,53,53,53,1,1,1,1,1,1,0,0,0,0,0,0,80.25,10,0,0,0,0,0,0,0,0.4375,0,0
54,SDSF,0,0,0,0,0,0,0,0,0,0,0,0,69,72,75,258,261,264,195,198,201,217,220,223,22,22,22,49,49,49,21,21,21,39,39,39,1,1,1,1,1,1,0,0,0,0,0,0,59.6,8.2,0,0,0,0,0,0,0.2,0.325,22.5,22.5
55,SDSF,0,1,1,0,0,0,0,0,0,0,0,0,105,108,111,59,62,65,224,227,230,117,120,123,22,22,22,46,46,46,21,21,21,47,47,47,1,1,1,1,1,1,0,0,0,0,0,0,48.6,3.6,0,0.2,0,0,0,0.4,0.5,0.2625,13.75,13.75
56,SDSF,0,0,0,0,0,0,0,0,0,0,0,0,262,265,268,184,187,190,112,115,118,260,263,266,35,35,35,54,54,54,25,25,25,55,55,55,1,1,1,1,1,1,0,0,0,0,0,0,63.2,27.2,0,0,0,0,0,0,0,0.85,0,0
57,SDSF,0,0,0,0,0,0,0,0,0,0,0,0,95,98,101,89,92,95,134,137,140,196,199,202,36,36,36,60,60,60,22,22,22,39,39,39,1,1,1,1,1,1,0,0,0,0,0,0,67,9.5,0,0,0,0,0,0.2,0,0.25,5,5
58,SDSF,0,0,0,0,0,0,0,0,0,0,0,0,110,113,116,215,218,221,76,79,82,156,159,162,41,41,41,54,54,54,29,29,29,47,47,47,1,1,1,1,1,1,0,0,0,0,0,0,81,13,1,0,0,0,0,0.2,0,0.475,19,20
59,SDSF,0,0,0,0,0,0,0,0,0,0,0,0,147,150,153,243,246,249,97,100,103,181,184,187,41,41,41,54,54,54,32,32,32,52,52,52,1,1,1,1,1,1,0,0,0,0,0,0,48.2,14.4,8,0,0,0,0,0.8,0,0.2125,10,18
60,SDSF,0,0,0,0,0,0,0,0,0,0,0,0,165,168,171,266,269,272,49,52,55,260,263,266,37,37,37,50,50,50,38,38,38,47,47,47,1,1,1,1,1,1,0,0,0,0,0,0,20.4,10.8,24,2,7.6,0,1.4,0.4,1.2,0.0375,0,24
