"","id","area","date","year","plot","hele_1","hele_2","hele_3","liatris1_num","liatris2_num","liatris3_num","survey_effort","hr.rise","obs_skill","doy","HOURLYWindSpeed","survey.yrID"
"232",1076,"SDSF",2015-08-17,2015,33,"1","4","3",20,20,20,60,6.57832828998566,0,228,6,"2015B"
"233",986,"SDSF",2015-08-20,2015,33,"2","2","4",20,10.5,20,30,5.90083193143209,1,231,14,"2015C"
"234",1034,"SDSF",2015-08-25,2015,33,"6","4","3",20,20,20,30,4.88267431961166,1,236,13,"2015D"
"236",1058,"SDSF",2015-09-02,2015,33,"0","1","0",20,20,20,30,8.2204754474428,1,244,9,"2015E"
"239",988,"SDSF",2015-08-20,2015,34,"0","0","0",0,0,0,30,8.11749859809876,1,231,14,"2015A"
"241",1083,"SDSF",2015-08-13,2015,35,"0","0","0",0,0,0,60,7.64251064724392,0,224,9,"2015A"
"242",1071,"SDSF",2015-08-25,2015,35,"0","0","0",0,0,0,30,7.01600765294499,0,236,17,"2015B"
"243",1063,"SDSF",2015-09-15,2015,35,"0","0","0",0,0,0,30,7.42391217211882,1,257,21,"2015C"
"245",980,"SDSF",2015-08-12,2015,36,"0","0","0",0,0,0,60,11.8126478507121,1,223,14,"2015A"
"246",1067,"SDSF",2015-08-25,2015,36,"0","0","0",0,0,0,30,7.73267431961166,0,236,14,"2015B"
"248",1082,"SDSF",2015-08-13,2015,37,"0","0","0",0,0,0,60,8.42584398057726,0,224,8,"2015A"
"249",1068,"SDSF",2015-08-25,2015,37,"0","0","0",0,0,0,30,8.29934098627832,0,236,11,"2015B"
"250",1064,"SDSF",2015-09-15,2015,37,"0","0","0",0,0,3,30,8.04057883878549,1,257,20,"2015C"
"252",1044,"SDSF",2015-08-14,2015,38,"0","0","0",0,3,0,30,11.2723385109504,1,225,6,"2015A"
"253",1035,"SDSF",2015-08-25,2015,38,"0","0","0",0,10.5,0,30,6.19934098627832,1,236,17,"2015B"
"255",1073,"SDSF",2015-08-17,2015,39,"0","0","0",20,10.5,0,60,7.42832828998566,0,228,7,"2015A"
"256",1070,"SDSF",2015-08-25,2015,39,"0","0","0",20,10.5,20,30,9.88267431961166,0,236,13,"2015B"
"257",1062,"SDSF",2015-09-15,2015,39,"0","0","0",0,0,0,30,6.62391217211882,1,257,21,"2015C"
"259",1042,"SDSF",2015-08-14,2015,40,"0","0","0",0,0,3,30,6.88900517761707,1,225,6,"2015A"
"260",1069,"SDSF",2015-08-25,2015,40,"0","0","0",3,20,20,30,9.44934098627832,0,236,13,"2015B"
"262",987,"SDSF",2015-08-20,2015,41,"0","0","0",0,0,0,30,7.00083193143209,1,231,11,"2015A"
"264",1004,"SDSF",2015-08-11,2015,42,"1","0","1",3,0,3,30,9.91607798198859,1,222,6,"2015A"
"265",991,"SDSF",2015-08-21,2015,42,"0","0","0",20,20,0,60,7.88053768197695,1,232,14,"2015B"
"266",1031,"SDSF",2015-08-21,2015,42,"0","0","0",20,0,0,30,9.51387101531029,1,232,11,"2015C"
"268",1005,"SDSF",2015-08-11,2015,43,"0","0","0",3,0,0,30,9.54941131532192,1,222,6,"2015A"
"269",1087,"SDSF",2015-08-21,2015,43,"0","0","0",20,0,10.5,60,8.08053768197695,0,232,14,"2015B"
"271",1015,"SDSF",2015-08-13,2015,45,"0","0","0",20,0,0,30,9.05917731391059,1,224,8,"2015A"
"272",993,"SDSF",2015-08-25,2015,45,"0","1","0",3,10.5,0,60,5.43267431961165,1,236,13,"2015B"
"274",1055,"SDSF",2015-09-01,2015,46,"0","0","0",10.5,0,0,30,9.15739530444145,1,243,7,"2015A"
"278",1084,"SDSF",2015-08-13,2015,47,"0","0","0",0,0,0,60,9.75917731391059,0,224,6,"2015A"
"279",1065,"SDSF",2015-09-15,2015,47,"0","0","0",0,0,0,30,8.99057883878549,1,257,20,"2015B"
"282",968,"SDSF",2015-08-13,2015,48,"0","0","0",0,0,0,30,9.97584398057726,1,224,6,"2015A"
"284",1016,"SDSF",2015-08-13,2015,49,"3","0","1",20,0,3,30,10.4258439805773,1,224,5,"2015A"
"285",1030,"SDSF",2015-08-21,2015,49,"3","0","2",20,0,10.5,30,8.19720434864362,1,232,15,"2015B"
"286",1056,"SDSF",2015-09-01,2015,49,"0","0","0",20,3,20,30,10.1907286377748,1,243,6,"2015C"
"288",1021,"SDSF",2015-08-15,2015,50,"0","0","0",0,0,0,30,8.35213653835985,1,226,14,"2015A"
"290",1045,"SDSF",2015-08-14,2015,51,"0","0","0",0,3,0,30,12.6056718442837,1,225,6,"2015A"
"292",1007,"SDSF",2015-08-12,2015,52,"0","0","0",0,0,0,30,8.14598118404547,1,223,14,"2015A"
"294",1009,"SDSF",2015-08-12,2015,53,"0","0","0",0,0,0,30,10.3126478507121,1,223,17,"2015A"
"296",1006,"SDSF",2015-08-12,2015,54,"0","0","0",0,0,0,30,7.37931451737881,1,223,14,"2015A"
"298",1008,"SDSF",2015-08-12,2015,55,"6","0","0",20,0,3,30,9.16264785071214,1,223,11,"2015A"
"299",1032,"SDSF",2015-08-24,2015,55,"1","0","0",20,20,3,30,7.85297239071793,1,235,22,"2015B"
"302",983,"SDSF",2015-08-17,2015,56,"0","0","0",0,0,0,30,6.71166162331899,1,228,6,"2015A"
"303",1033,"SDSF",2015-08-24,2015,56,"0","0","0",0,0,0,30,8.5696390573846,1,235,21,"2015B"
"306",984,"SDSF",2015-08-17,2015,57,"0","0","0",0,0,0,30,8.21166162331899,1,228,8,"2015A"
"308",1020,"SDSF",2015-08-15,2015,58,"0","0","0",10.5,3,0,30,6.91880320502652,1,226,16,"2015A"
"309",998,"SDSF",2015-08-26,2015,58,"0","0","0",0,3,0,60,9.52904628872871,1,237,3,"2015B"
"311",1019,"SDSF",2015-08-15,2015,59,"0","0","0",0,0,0,30,5.93546987169319,1,226,13,"2015A"
"313",1017,"SDSF",2015-08-13,2015,60,"0","0","0",10.5,0,0,30,11.2925106472439,1,224,0,"2015A"
"318",1268,"SNWR",2016-09-01,2016,1,"0","0","0",0,0,20,30,12.5920574147171,1,244,5,"2016A"
"320",1170,"SNWR",2016-08-24,2016,2,"0","0","0",0,0,0,30,7.87092764993509,1,236,13,"2016A"
"321",1267,"SNWR",2016-09-01,2016,2,"0","0","0",0,3,0,30,11.8253907480505,1,244,5,"2016B"
"323",1167,"SNWR",2016-08-17,2016,3,"0","0","0",0,0,0,30,13.5463048637576,1,229,3,"2016A"
"324",1203,"SNWR",2016-08-31,2016,3,"0","0","0",0,0,0,30,7.26231124016974,0,243,7,"2016B"
"326",1169,"SNWR",2016-08-24,2016,4,"0","0","0",20,10.5,10.5,30,7.12092764993509,1,236,13,"2016A"
"327",1204,"SNWR",2016-08-31,2016,4,"0","0","0",0,3,3,30,8.01231124016974,0,243,5,"2016B"
"328",1164,"SNWR",2016-08-17,2016,5,"0","0","0",20,10.5,20,30,10.1463048637576,1,229,3,"2016A"
"329",1172,"SNWR",2016-08-21,2016,5,"0","0","0",20,20,20,30,5.66515744421217,1,233,8,"2016B"
"331",1183,"SNWR",2016-08-23,2016,6,"0","0","0",10.5,0,3,30,9.2078921917412,1,235,14,"2016A"
"332",1205,"SNWR",2016-08-31,2016,6,"0","0","0",0,0,0,30,6.39564457350307,0,243,8,"2016B"
"334",1206,"SNWR",2016-08-23,2016,7,"0","0","0",0,0,0,30,7.8578921917412,0,235,15,"2016A"
"335",1207,"SNWR",2016-09-01,2016,7,"0","0","0",3,0,0,30,6.70872408138381,0,244,7,"2016B"
"337",1173,"SNWR",2016-08-21,2016,8,"0","0","0",20,20,3,30,6.53182411087884,1,233,15,"2016A"
"338",1208,"SNWR",2016-08-30,2016,8,"0","0","0",20,20,10.5,30,8.13257128225433,0,242,6,"2016B"
"340",1175,"SNWR",2016-08-21,2016,9,"0","0","0",20,20,20,30,11.4484907775455,1,233,8,"2016A"
"341",1209,"SNWR",2016-09-01,2016,9,"0","0","0",20,20,20,30,5.57539074805048,0,244,8,"2016B"
"345",1185,"SNWR",2016-08-23,2016,10,"0","0","0",0,20,3,30,11.8245588584079,1,235,17,"2016A"
"346",1210,"SNWR",2016-08-31,2016,10,"0","0","0",0,0,0,30,8.86231124016974,0,243,5,"2016B"
"349",1186,"SNWR",2016-08-24,2016,11,"0","0","0",3,20,20,30,4.60426098326842,1,236,13,"2016A"
"350",1211,"SNWR",2016-08-24,2016,11,"0","0","0",20,20,20,30,8.45426098326842,0,236,15,"2016B"
"352",1176,"SNWR",2016-08-22,2016,12,"0","0","0",20,20,20,30,4.86152494490147,1,234,20,"2016A"
"353",1213,"SNWR",2016-09-01,2016,12,"0","0","0",0,0,0,30,4.64205741471714,0,244,7,"2016B"
"355",1184,"SNWR",2016-08-23,2016,13,"0","0","0",10.5,0,10.5,30,10.8412255250745,1,235,13,"2016A"
"357",1214,"SNWR",2016-08-25,2016,13,"0","0","0",3,20,0,30,5.23396615935696,0,237,17,"2016B"
"359",1182,"SNWR",2016-08-23,2016,14,"0","0","0",0,0,3,30,7.97455885840787,1,235,15,"2016A"
"360",1272,"SNWR",2016-09-02,2016,14,"0","0","0",3,0,0,30,9.72180931852924,1,245,17,"2016B"
"362",1273,"SNWR",2016-09-02,2016,15,"0","0","0",0,0,0,30,10.8884759851959,1,245,16,"2016A"
"364",1215,"SNWR",2016-08-23,2016,16,"0","0","0",0,0,0,60,11.3912255250745,0,235,17,"2016A"
"366",1192,"SNWR",2016-08-26,2016,17,"0","0","0",0,0,0,30,5.48034227715598,1,238,7,"2016A"
"367",1263,"SNWR",2016-09-01,2016,17,"0","0","0",0,0,0,30,6.07539074805048,1,244,7,"2016B"
"369",1193,"SNWR",2016-08-26,2016,18,"0","0","0",0,0,0,30,6.71367561048932,1,238,6,"2016A"
"370",1201,"SNWR",2016-09-04,2016,18,"0","0","0",0,0,0,30,5.16466067665153,1,247,15,"2016B"
"372",1262,"SNWR",2016-09-01,2016,19,"0","0","0",20,20,0,30,4.85872408138381,1,244,7,"2016A"
"376",1216,"SNWR",2016-08-22,2016,20,"0","0","0",3,0,0,30,5.52819161156813,0,234,16,"2016A"
"378",1218,"SDSF",2016-08-17,2016,21,"0","0","0",0,0,0,30,9.69630486375756,0,229,3,"2016A"
"379",1217,"SDSF",2016-08-25,2016,21,"0","0","0",0,0,10.5,30,6.05063282602363,0,237,15,"2016B"
"381",1219,"SDSF",2016-08-17,2016,22,"0","0","0",3,0,3,30,6.94630486375756,0,229,0,"2016A"
"382",1259,"SDSF",2016-08-30,2016,22,"0","1","0",10.5,10.5,0,30,8.84923794892099,1,242,6,"2016B"
"383",1202,"SDSF",2016-09-04,2016,22,"0","0","0",10.5,10.5,0,30,6.74799400998486,1,247,18,"2016C"
"389",1220,"SDSF",2016-08-17,2016,23,"0","0","0",0,3,0,30,5.96297153042422,0,229,0,"2016A"
"390",1190,"SDSF",2016-08-24,2016,23,"0","0","0",3,0,0,30,9.95426098326842,1,236,11,"2016B"
"392",1221,"SDSF",2016-08-26,2016,24,"0","0","0",0,20,0,30,6.09700894382265,0,238,6,"2016A"
"394",1222,"SDSF",2016-08-23,2016,25,"0","0","0",0,0,0,30,9.14122552507454,0,235,14,"2016A"
"395",1199,"SDSF",2016-09-03,2016,25,"0","0","0",0,0,0,30,8.38489959147241,1,246,20,"2016B"
"397",1162,"SDSF",2016-08-17,2016,26,"0","0","0",0,0,0,30,8.37963819709089,1,229,3,"2016A"
"398",1223,"SDSF",2016-08-30,2016,26,"0","0","0",0,0,0,60,6.31590461558766,1,242,7,"2016B"
"400",1163,"SDSF",2016-08-17,2016,27,"0","0","0",10.5,10.5,10.5,30,7.02963819709089,1,229,0,"2016A"
"401",1191,"SDSF",2016-08-30,2016,27,"0","0","0",0,20,3,30,7.88257128225433,1,242,5,"2016B"
"403",1224,"SDSF",2016-08-26,2016,28,"0","0","0",0,0,0,30,8.58034227715598,0,238,6,"2016A"
"404",1266,"SDSF",2016-09-01,2016,28,"0","0","0",0,0,0,30,10.8253907480505,1,244,7,"2016B"
"406",1225,"SDSF",2016-08-24,2016,29,"0","0","0",0,0,0,30,7.02092764993509,0,236,14,"2016A"
"408",1179,"SDSF",2016-08-22,2016,30,"0","0","0",0,0,0,30,9.4948582782348,1,234,21,"2016A"
"409",1226,"SDSF",2016-08-25,2016,30,"0","0","0",0,0,0,30,7.3672994926903,0,237,15,"2016B"
"411",1227,"SDSF",2016-08-17,2016,31,"0","0","0",0,0,0,30,7.96297153042422,0,229,5,"2016A"
"412",1228,"SDSF",2016-09-01,2016,31,"0","0","0",0,0,0,30,9.24205741471715,0,244,7,"2016B"
"414",1189,"SDSF",2016-08-24,2016,32,"0","0","0",0,0,0,30,8.50426098326842,1,236,15,"2016A"
"415",1229,"SDSF",2016-08-30,2016,32,"0","0","0",0,0,0,30,9.21590461558766,0,242,8,"2016B"
"416",1177,"SDSF",2016-08-22,2016,33,"1","0","2",10.5,3,10.5,30,5.81152494490147,1,234,16,"2016A"
"417",1230,"SDSF",2016-08-30,2016,33,"0","0","0",0,3,0,60,5.16590461558766,1,242,7,"2016B"
"419",1232,"SDSF",2016-08-22,2016,34,"0","0","0",0,0,0,30,8.2448582782348,0,234,18,"2016A"
"420",1231,"SDSF",2016-08-25,2016,34,"0","0","0",0,0,0,30,8.18396615935696,0,237,11,"2016B"
"423",1233,"SDSF",2016-08-17,2016,35,"0","0","0",0,0,0,30,11.8129715304242,0,229,3,"2016A"
"424",1234,"SDSF",2016-08-30,2016,35,"0","0","0",0,0,0,30,10.2325712822543,0,242,7,"2016B"
"429",1236,"SDSF",2016-08-22,2016,36,"0","0","0",0,0,0,30,8.97819161156813,0,234,18,"2016A"
"430",1235,"SDSF",2016-08-25,2016,36,"0","0","0",0,0,0,30,8.7672994926903,0,237,11,"2016B"
"432",1237,"SDSF",2016-08-23,2016,37,"0","0","0",0,0,0,30,7.99122552507453,0,235,15,"2016A"
"433",1238,"SDSF",2016-08-31,2016,37,"0","0","0",0,0,0,30,5.46231124016974,0,243,7,"2016B"
"435",1180,"SDSF",2016-08-22,2016,38,"0","0","0",0,0,0,30,10.6281916115681,1,234,21,"2016A"
"436",1239,"SDSF",2016-09-01,2016,38,"0","0","0",0,3,0,30,7.82539074805048,0,244,5,"2016B"
"438",1240,"SDSF",2016-08-17,2016,39,"0","0","0",3,0,20,30,10.6629715304242,0,229,0,"2016A"
"439",1241,"SDSF",2016-08-31,2016,39,"0","0","0",0,3,20,30,9.74564457350307,0,243,6,"2016B"
"441",1242,"SDSF",2016-08-26,2016,40,"0","0","0",10.5,0,3,30,7.53034227715598,0,238,5,"2016A"
"443",1243,"SDSF",2016-08-23,2016,41,"0","0","0",0,0,0,30,10.0578921917412,0,235,14,"2016A"
"444",1271,"SDSF",2016-09-02,2016,41,"0","0","0",3,0,0,30,8.2884759851959,1,245,15,"2016B"
"446",1244,"SDSF",2016-08-26,2016,42,"0","0","0",10.5,20,10.5,30,4.41367561048932,0,238,5,"2016A"
"447",1245,"SDSF",2016-08-31,2016,42,"0","0","0",10.5,20,0,30,3.66231124016974,0,243,0,"2016B"
"448",1246,"SDSF",2016-08-22,2016,43,"0","0","0",0,0,0,30,6.57819161156813,0,234,22,"2016A"
"449",1270,"SDSF",2016-09-02,2016,43,"0","0","0",3,0,0,30,6.85514265186257,1,245,17,"2016B"
"451",1168,"SDSF",2016-08-22,2016,45,"0","0","0",0,3,3,30,7.97819161156813,1,234,18,"2016A"
"452",1194,"SDSF",2016-08-26,2016,45,"0","0","0",10.5,3,0,30,8.24700894382265,1,238,6,"2016B"
"454",1261,"SDSF",2016-08-30,2016,46,"0","0","0",0,0,0,30,11.699237948921,1,242,5,"2016A"
"456",1247,"SDSF",2016-08-23,2016,47,"0","0","0",0,0,0,30,10.2745588584079,0,235,13,"2016A"
"458",1248,"SDSF",2016-08-31,2016,47,"0","0","0",0,0,3,30,4.5789779068364,0,243,3,"2016B"
"459",1249,"SDSF",2016-08-22,2016,48,"0","0","0",0,0,10.5,30,11.4115249449015,0,234,15,"2016A"
"460",1250,"SDSF",2016-08-30,2016,48,"0","0","0",0,0,0,30,12.1659046155877,0,242,5,"2016B"
"462",1251,"SDSF",2016-08-23,2016,49,"0","0","0",20,0,3,30,6.4578921917412,0,235,16,"2016A"
"463",1187,"SDSF",2016-08-24,2016,49,"1","0","0",20,10.5,3,30,5.88759431660175,1,236,13,"2016B"
"464",1200,"SDSF",2016-09-03,2016,49,"0","0","0",3,3,3,30,9.13489959147241,1,246,20,"2016C"
"466",1253,"SDSF",2016-08-23,2016,50,"0","0","0",3,3,0,30,6.39122552507454,0,235,16,"2016A"
"467",1252,"SDSF",2016-08-24,2016,50,"0","0","0",10.5,0,0,30,9.57092764993509,0,236,11,"2016B"
"472",1254,"SDSF",2016-08-22,2016,51,"0","0","0",0,0,0,30,10.3448582782348,0,234,21,"2016A"
"473",1255,"SDSF",2016-08-30,2016,51,"0","0","0",3,20,0,30,11.249237948921,0,242,5,"2016B"
"475",1188,"SDSF",2016-08-24,2016,52,"0","0","0",0,0,0,30,6.97092764993509,1,236,14,"2016A"
"476",1265,"SDSF",2016-09-01,2016,52,"0","0","0",0,0,0,30,8.87539074805048,1,244,6,"2016B"
"480",1178,"SDSF",2016-08-22,2016,53,"0","0","0",0,0,0,30,8.06152494490147,1,234,18,"2016A"
"481",1264,"SDSF",2016-09-01,2016,53,"0","0","0",0,0,0,30,7.90872408138381,1,244,6,"2016B"
"483",1166,"SDSF",2016-08-17,2016,54,"0","0","0",0,0,0,30,12.6963048637576,1,229,5,"2016A"
"484",1256,"SDSF",2016-08-23,2016,54,"0","0","0",0,0,0,30,5.44122552507454,0,235,16,"2016B"
"486",1174,"SDSF",2016-08-21,2016,55,"0","0","0",20,20,3,30,8.43182411087884,1,233,9,"2016A"
"487",1195,"SDSF",2016-08-26,2016,55,"1","0","0",20,20,10.5,30,9.93034227715598,1,238,7,"2016B"
"488",1196,"SDSF",2016-09-03,2016,55,"1","0","0",10.5,10.5,3,30,5.08489959147241,1,246,15,"2016C"
"490",1165,"SDSF",2016-08-17,2016,56,"0","0","0",0,0,0,30,11.6296381970909,1,229,3,"2016A"
"491",1197,"SDSF",2016-09-03,2016,56,"0","0","0",0,0,0,30,5.98489959147241,1,246,18,"2016B"
"492",1258,"SDSF",2016-08-23,2016,57,"0","0","0",0,0,0,30,5.4078921917412,0,235,16,"2016A"
"493",1257,"SDSF",2016-08-25,2016,57,"0","0","0",0,0,0,30,9.53396615935696,0,237,16,"2016B"
"495",1171,"SDSF",2016-08-24,2016,58,"0","0","0",0,20,0,30,9.75426098326842,1,236,11,"2016A"
"496",1260,"SDSF",2016-08-30,2016,58,"0","0","0",0,0,0,30,10.649237948921,1,242,7,"2016B"
"498",1269,"SDSF",2016-09-02,2016,59,"0","0","0",0,0,0,30,5.62180931852923,1,245,11,"2016A"
"500",1198,"SDSF",2016-09-03,2016,60,"0","0","0",3,3,3,30,6.98489959147241,1,246,20,"2016A"
